,address,camera_id,perdayviolations
0,2200 S WESTERN AVENUE,1002.0,5.11260053619
1,2400 W CERMAK ROAD,1003.0,1.96062052506
2,6000 N WESTERN AVE,1011.0,4.02757352941
3,2400 W PETERSON,1014.0,7.1308576481
4,6400 W IRVING PK,1023.0,2.8382045929
5,6400 W IRVING PK,1024.0,2.9672801636
6,5200 N NAGLE,1031.0,5.35457809695
7,6400 W FOSTER,1034.0,2.43203883495
8,4800 N CICERO AVENUE,1041.0,6.36607970343
9,4800 N CICERO AVE,1041.0,6.36607970343
10,4800 N CICERO AVENUE,1042.0,5.23513011152
11,4800 N CICERO AVE,1042.0,5.23513011152
12,5930 N CLARK STREET,1051.0,6.82018348624
13,5930 N CLARK STREET,1052.0,3.75482625483
14,5200 N ELSTON AVENUE,1062.0,1.46956521739
15,4932 W FOSTER AVENUE,1063.0,3.36633663366
16,5200 N WESTERN AVE,1072.0,3.56548856549
17,2400 W FOSTER AVE,1074.0,5.38208409506
18,6400 N HARLEM AVE,1081.0,3.72159090909
19,6400 N HARLEM AVE,1082.0,2.16535433071
20,4000 N CLARK STREET,1091.0,2.38342541436
21,1300 W IRVING PARK ROAD,1093.0,4.83693693694
22,5200 N PULASKI RD,1102.0,3.08196721311
23,4000 W FOSTER AVE,1104.0,4.66364460562
24,5200 N BROADWAY ST,1111.0,3.64851957975
25,1200 W FOSTER AVE,1113.0,2.63113897597
26,6400 N SHERIDAN ROAD,1122.0,8.0738317757
27,1200 W DEVON AVE,1123.0,3.3231773667
28,5200 N SHERIDAN ROAD,1132.0,1.99637243047
29,1000 W FOSTER AVE,1134.0,2.3954248366
30,4800 N ASHLAND AVENUE,1142.0,5.02554744526
31,1600 W LAWRENCE AVENUE,1143.0,4.2712962963
32,4000 N ASHLAND AVENUE,1151.0,2.85585585586
33,1600 W IRVING PARK ROA,1153.0,2.52631578947
34,4000 N AUSTIN AVENUE,1161.0,3.09763313609
35,6000 W IRVING PARK ROAD,1163.0,2.57051282051
36,4800 N PULASKI ROAD,1172.0,1.59174311927
37,4000 W LAWRENCE AVENUE,1173.0,2.09359605911
38,4000 N CENTRAL AVENUE,1182.0,1.98074454429
39,5600 W IRVING PARK ROAD,1183.0,3.22828282828
40,4800 N WESTERN AVENUE,1192.0,3.30186823992
41,2400 W LAWRENCE AVENUE,1193.0,2.84901758014
42,6000 N CICERO AVENUE,1202.0,3.73209302326
43,4800 W PETERSON AVENUE,1204.0,1.70580296896
44,6400 N WESTERN AVENUE,1211.0,2.02777777778
45,6400 N WESTERN AVENUE,1212.0,2.34513274336
46,4400 N WESTERN AVENUE,1221.0,6.89048473968
47,2400 W MONTROSE AVENUE,1224.0,1.83418367347
48,2800 W IRVING PARK ROA,1233.0,3.69080234834
49,2800 W IRVING PARK ROA,1234.0,7.60323159785
50,7432 W TOUHY AVENUE,1243.0,2.62132921175
51,7432 W TOUHY AVENUE,1244.0,1.98115942029
52,7200 N WESTERN AVENUE,1251.0,2.28909952607
