,address,camera_id,perdayviolations
0,4124 W FOSTER AVE,CHI003,120.530261969
1,5120 N PULASKI,CHI004,36.4118673647
2,2080 W PERSHING,CHI005,13.0767888307
3,3843 S WESTERN,CHI007,64.6721461187
4,3655 W JACKSON,CHI008,19.8727114211
5,3646 W MADISON,CHI009,50.454308094
6,1111 N HUMBOLDT,CHI010,58.4673060157
7,3100 W AUGUSTA,CHI011,16.2493273543
8,5330 S COTTAGE GROVE,CHI013,46.4338624339
9,6909 S KEDZIE,CHI014,61.9449781659
10,3450 W 71ST,CHI015,15.8340688438
11,6818 S KEDZIE,CHI018,41.1931518876
12,2917 W ROOSEVELT,CHI019,40.5017452007
13,2912 W ROOSEVELT,CHI020,25.0718038529
14,2900 W OGDEN,CHI021,126.724738676
15,11153 S VINCENNES,CHI022,9.69202226345
16,11144 S VINCENNES,CHI023,19.7080291971
17,3137 W PETERSON,CHI024,46.303057554
18,3034 W FOSTER,CHI025,19.9421221865
19,3521 N WESTERN,CHI026,27.0505836576
20,3534 N WESTERN,CHI027,39.9651898734
21,2549 W ADDISON,CHI028,73.6684881603
22,536 E MORGAN DR,CHI029,73.8534031414
23,4929 S PULASKI,CHI030,25.2444821732
24,5030 S PULASKI,CHI031,65.4906937394
25,4965 S ARCHER,CHI032,24.0691399663
26,629 S STATE,CHI033,19.8031914894
27,630 S STATE,CHI034,13.8193202147
28,57 E 95TH,CHI035,7.03087649402
29,62 E 95TH,CHI036,12.2618409294
30,6247 W FULLERTON,CHI039,14.9088495575
31,6250 W FULLERTON,CHI040,14.3232949513
32,5509 W FULLERTON,CHI041,23.4887459807
33,5446 W FULLERTON,CHI042,22.8314424635
34,5440 W GRAND,CHI043,16.3488745981
35,4843 W FULLERTON,CHI044,48.5129533679
36,445 W 127TH,CHI045,155.114310646
37,3843 W 111TH,CHI048,21.3173758865
38,4123 N CENTRAL AVE,CHI049,14.1472222222
39,5454 W IRVING PARK,CHI050,37.0370036101
40,6523 N WESTERN,CHI051,41.9440559441
41,4433 N WESTERN,CHI055,19.0348735833
42,4432 N LINCOLN,CHI056,2.0193236715
43,515 S CENTRAL AVE,CHI057,6.01423487544
44,5816 W JACKSON,CHI058,74.7421052632
45,5433 S PULASKI,CHI059,13.240917782
46,5428 S PULASKI,CHI060,8.0484496124
47,4045 W 55TH,CHI061,2.48342541436
48,4040 W 55TH,CHI062,9.33333333333
49,7518 S VINCENNES,CHI063,27.2969034608
50,7739 S WESTERN,CHI064,31.2453468697
51,7738 S WESTERN,CHI065,22.7851099831
52,2603 W 79TH,CHI066,7.45259391771
53,2550 W 79TH,CHI067,8.32820512821
54,5529 S WESTERN,CHI068,11.7324561404
55,5520 S WESTERN,CHI069,21.4481255449
56,2513 W 55TH,CHI070,17.5322862129
57,7833 S PULASKI,CHI071,28.2833333333
58,7826 S PULASKI,CHI072,7.075
59,3851 W 79th,CHI073,8.23116438356
60,3832 W 79TH,CHI074,15.9120287253
61,141 N ASHLAND,CHI075,8.7708129285
62,140 N ASHLAND,CHI076,13.4355992844
63,115 N OGDEN,CHI077,40.8140350877
64,2721 W MONTROSE,CHI078,3.53819444444
65,2705 W IRVING PARK,CHI079,99.491644679
66,2712 W IRVING PARK,CHI080,29.3211169284
67,6226 W IRVING PARK RD,CHI083,50.3080279232
68,4620 W BELMONT AVE,CHI086,4.72300469484
69,3230 N MILWAUKEE AVE,CHI087,10.4508474576
70,3809 W BELMONT AVE,CHI088,7.64746945899
71,3810 W BELMONT AVE,CHI089,2.60353535354
72,2448 N CLYBOURN AVE,CHI090,15.0928381963
73,2443 N ASHLAND,CHI091,45.2049036778
74,2432 N ASHLAND,CHI092,8.79856759176
75,5885 N RIDGE AVE,CHI093,31.7745454545
76,4436 N WESTERN,CHI094,14.9902826855
77,1142 W IRVING PARK,CHI095,83.6050788091
78,4429 N BROADWAY,CHI096,2.37717391304
79,4446 N BROADWAY,CHI097,1.81575433912
80,2445 W 51ST ST,CHI098,2.61299435028
81,2440 W 51ST ST,CHI099,3.95784543326
82,5025 S WESTERN AVE,CHI100,46.7852348993
83,7422 S JEFFERY,CHI101,14.0430958663
84,5471 W HIGGINS,CHI102,33.5398230088
85,5432 W LAWRENCE,CHI103,5.50628366248
86,3115 N NARRAGANSETT AVE,CHI104,2.73645320197
87,6443 W BELMONT AVE,CHI105,2.84675324675
88,6514 W BELMONT AVE,CHI106,3.58719646799
89,4041 W CHICAGO AVE,CHI107,26.9269480519
90,4040 W CHICAGO AVE,CHI108,44.5399673736
91,732 N PULASKI RD,CHI109,22.1674876847
92,2335 W CERMAK RD,CHI110,3.75
93,2326 W CERMAK RD,CHI111,2.39197530864
94,1635 N ASHLAND AVE,CHI112,26.0912621359
95,1638 N ASHLAND AVE,CHI113,10.0245746692
96,6125 N CICERO AVE,CHI114,22.1776937618
97,4707 W PETERSON AVE,CHI115,39.9230769231
98,4674 W PETERSON AVE,CHI116,16.2876190476
99,2928 S HALSTED,CHI117,6.80147058824
100,5420 S RACINE AVE,CHI118,9.76003490401
101,1334 W GARFIELD BLVD,CHI119,58.4991258741
102,10318 S INDIANAPOLIS,CHI120,99.8315696649
103,1315 W GARFIELD BLVD,CHI121,46.0453356582
104,3047 W JACKSON BLVD,CHI122,16.3206039076
105,324 S KEDZIE AVE,CHI123,11.5649122807
106,449 N COLUMBUS DR,CHI124,9.16235504014
107,450 N COLUMBUS DR,CHI125,23.3430851064
108,319 E ILLINOIS ST,CHI126,3.00601684717
109,324 E ILLINOIS ST,CHI126,3.00601684717
110,1229 N WESTERN AVE,CHI127,39.5
111,1226 N WESTERN AVE,CHI128,18.6177024482
112,2329 W DIVISION ST,CHI129,9.12326043738
113,506 S CENTRAL AVE,CHI130,4.77613320999
